Canonical_Source,Canonical_Provenance_URI,Origin_Lists,Alias_Names,Consolidated_Disposition,Disposition_Code,Disposition_Rationale,Best_Current_License,Best_Current_Commercial_Safe,Best_Current_Attribution_Required,Observed_License_Claims,Observed_Commercial_Safe_Claims,Observed_Attribution_Claims,Merged_Notes
lobid-gnd,https://lobid.org/gnd,gemini_vetted,lobid-gnd,promote,verified_cc0,Keep; lobid-gnd exposes CC0 GND data via JSON-LD API.,CC0,Yes,No,CC0,Yes,No,"Provides a highly accessible, developer-friendly JSON-LD API over the German Authority File (GND) for querying German-speaking world prizes."
Crossref,https://api.crossref.org,gemini_vetted,Crossref,conditional,crossref_open_but_not_blanket_cc0,"Keep; Crossref metadata is open and mostly unrestricted, but note nuance around abstracts and Crossref-generated data.",Open / mostly unrestricted; CC0 for Crossref-generated and OFR,Yes,No for core metadata,CC0,Yes,No,Massive REST API for scholarly books and monographs globally; funding and award nodes frequently surface academic book prizes.
DBpedia,https://www.dbpedia.org,deepseek;gemini_vetted,DBpedia,conditional,wikipedia_derived_sharealike,"Keep only as discovery layer, not core trust-tier source.",CC BY-SA / derived,Secondary only,Yes,CC BY-SA | CC BY-SA 3.0 / GNU FDL,Yes,Yes,"A massive, community-driven knowledge graph extracted from Wikipedia. Contains structured information on a vast number of awards. || Ideal for extracting structured data from Wikipedia category trees for prizes not yet fully modeled in Wikidata."
Enciclopedia de la Literatura en México (ELEM),http://www.elem.mx,gemini_vetted,Enciclopedia de la Literatura en México (ELEM),conditional,mixed_or_unclear_rights,"Useful reference pool, but mixed licensing means not core-safe without a tighter rights model.",Varies,Maybe,Yes,Varies,Maybe,Yes,Essential mapping source for Mexican book awards and literary academies; underlying facts and identifiers are highly valuable despite mixed text licensing.
ISNI,https://isni.org/page/data-sources,deepseek;gemini_vetted,ISNI | ISNI (International Standard Name Identifier),conditional,linked_data_lane_only,Do not keep blanket CC0/No attribution claim; treat as conditional until specific ISNI data lane is confirmed.,VERIFY lane-specific,Conditional,VERIFY,CC0 | Unclear,Likely | Yes,Likely | No,"An ISO standard for identifying public identities of contributors to creative works, useful for linking authors to awards. || Global standard for identifying public identities and organizations; critical for disambiguating award-granting bodies."
Library of Congress LDS,https://id.loc.gov,deepseek;gemini_vetted,LC Linked Data Service: Awards & Prizes | Library of Congress LDS,conditional,source_real_license_not_cleanly_captured_here,Do not keep 'Public Domain/No attribution' as final without explicit licence capture from an official rights page.,VERIFY,VERIFY,VERIFY,CC0 / Public Domain | Public Domain,Yes,No,Core Anglosphere name and subject authorities; standardizes English-language award names. || The Library of Congress offers a dedicated Linked Data vocabulary for awards and prizes. It includes specific authorities for winners of major literary awards like the PEN America Literary Award and Women's Prize for Fiction.
NDL Japan,https://id.ndl.go.jp,deepseek;seed,NDL Japan,conditional,conditional_commercial_application_required,Seed row indicates non-commercial default with commercial application required.,Free for non-commercial (Commercial requires application),Maybe,Yes,Free for non-commercial (Commercial requires application),Maybe,Yes,Best for East Asian discovery; needs application for bulk commercial use.
National Library of Scotland Data Foundry,https://data.nls.uk,gemini_vetted,National Library of Scotland Data Foundry,conditional,dataset_family_mixed_rights,"Keep as dataset-family source only; NLS Data Foundry rights vary by dataset, not blanket CC0.",Dataset-specific,Dataset-specific,Dataset-specific,CC0,Yes,No,Provides bulk metadata downloads in MARC/XML; vital for capturing Scottish literary history and regional Anglosphere awards.
Post45 Data Collective,https://data.post45.org,deepseek;gemini_vetted,Post45 Data Collective,conditional,open_license_required_but_dataset_specific,Keep as dataset family; individual Post45 datasets should be tracked dataset-by-dataset.,Dataset-specific open license,Yes,Dataset-specific,CC0 / CC BY | Varies (likely CC BY),Likely | Yes,Likely | Yes,"Curates datasets on post-1945 literature and culture, including specific sets on US and UK literary prizes and their winners. || Highly structured datasets for post-1945 Anglosphere literature; provides excellent reconciliation targets for contemporary literary awards and market data."
Project Gutenberg RDF,https://www.gutenberg.org/cache/epub/feeds/,deepseek;gemini_vetted,Project Gutenberg | Project Gutenberg RDF,conditional,public_domain_indirect,"Usable as historical indirect discovery support, but not a primary prize source.",Public Domain,Yes,No,Public Domain | Unclear,Likely | Yes,Likely | No,"A volunteer effort to digitize and archive cultural works, with potential linked data applications. || Provides bulk RDF/XML dumps; useful for historical baseline mapping of classic Anglosphere literature."
Trove API (NLA Australia),https://trove.nla.gov.au,deepseek;gemini_vetted,Trove | Trove API (NLA Australia),conditional,metadata_only_api_terms,"Keep as secondary/conditional; Trove API covers metadata only, requires API key, attribution, and has usage conditions.",Trove API metadata terms,Conditional,Yes,Unclear | Varies,Likely | Yes,Likely | Yes,"An Australian online library database aggregator, with linked data capabilities. || Essential node for Australian and Oceania literary awards; API requires registration for bulk data."
BNE Spain,https://datos.bne.es,deepseek;seed,BNE Spain | National Library of Spain (BNE),legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,CC0,Yes,No,CC0,Yes,No,"Provides a rich LOD dataset with millions of authority and bibliographic records, including award information. || Spanish national bibliography and Ibero-American awards."
BnF France,https://data.bnf.fr,deepseek;seed,Bibliothèque nationale de France (BnF) | BnF France,legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,Etalab Open License,Yes,Yes,Etalab Open License,Yes,Yes,French national bibliography and literary prizes. || Publishes French national bibliography data and literary prize information in LOD format.
British Library,http://bnb.data.bl.uk,deepseek;seed,British Library,legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,Open Government License,Yes,Yes,Open Government License,Yes,Yes,UK national bibliography (requires BL attribution).
CSIRO Australia,http://registry.it.csiro.au,deepseek;seed,CSIRO Australia,legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,Creative Commons,Yes,Yes,Creative Commons,Yes,Yes,Australian STEM and research awards.
DNB GND,https://www.dnb.de/EN/Service/Metadatendienste/LinkedData/linkeddata_node.html,deepseek;seed,DNB GND | Deutsche Nationalbibliothek (DNB),legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,CC0,Yes,No,CC0,Yes,No,"German-speaking scholarly authority file. || The German National Library's linked data service, including the Integrated Authority File (GND), essential for German-language awards."
KB Netherlands,https://data.bibliotheken.nl,deepseek;seed,KB Netherlands,legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,CC0,Yes,No,CC0,Yes,No,Dutch national bibliography and scholarly prizes.
Nasjonalbiblioteket,https://www.nb.no,deepseek;seed,Nasjonalbiblioteket,legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,CC0,Yes,No,CC0,Yes,No,Norwegian national bibliography and awards.
OCLC FAST,https://www.oclc.org/research/themes/data-science/fast.html,deepseek;seed,OCLC FAST,legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,ODC-By,Yes,Yes,ODC-By,Yes,Yes,Subject-based prize discovery identifiers.
OpenAlex,https://openalex.org,deepseek;seed,OpenAlex,legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,CC0,Yes,No,CC0,Yes,No,Global scholarly research graph.
OpenCitations,https://opencitations.net,deepseek;seed,OpenCitations,legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,CC0,Yes,No,CC0,Yes,No,Citation-linked funding and award metadata.
UNESCO,http://vocabularies.unesco.org,deepseek;seed,UNESCO,legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,CC BY-SA,Yes,Yes,CC BY-SA,Yes,Yes,International educational and cultural prizes.
Wikidata,https://www.wikidata.org,deepseek;seed,Wikidata,legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,CC0,Yes,No,CC0,Yes,No,Global general knowledge hub.
African Journals Online (AJOL),https://www.ajol.info,gemini_vetted,African Journals Online (AJOL),hold,license_not_verified,Potentially useful African scholarly node; rights/reuse need confirmation.,Varies,Maybe,Yes,Varies,Maybe,Yes,Core infrastructure for African scholarly output; useful for identifying regional academic book and publishing awards.
Asian American Literary Canon,https://github.com/Post45-Data-Collective/data/tree/main/asian_american_literarture,deepseek,Asian American Literary Canon,hold,hold_needs_primary_license,Needs primary-source license verification.,Varies (likely CC BY),Likely,Likely,Varies (likely CC BY),Likely,Likely,"Traces the Asian American literary canon through nearly 1,900 scholarly citations from 1971 to 2023."
BASE (Bielefeld Academic Search Engine),https://www.base-search.net,gemini_vetted,BASE (Bielefeld Academic Search Engine),hold,license_not_verified,"Aggregator/search engine can be useful, but source/licence treatment is too unclear for core inclusion.",Varies,Maybe,Yes,Varies,Maybe,Yes,Massive aggregator of global OAI-PMH endpoints; excellent for harvesting long-tail scholarly monographs and institutional book prizes.
Biblioteca Nacional Mariano Moreno (Argentina),https://catalogo.bn.gov.ar,gemini_vetted,Biblioteca Nacional Mariano Moreno (Argentina),hold,license_not_verified,Potentially useful Argentine node; rights/reuse need primary-source confirmation.,Varies,Maybe,Yes,Varies,Maybe,Yes,Key node for Argentine literary awards; exposes bibliographic records essential for Southern Cone discovery.
Biblioteca Nacional de Chile,https://www.bibliotecanacional.gob.cl,gemini_vetted,Biblioteca Nacional de Chile,hold,license_not_verified,Potentially useful national node; rights need primary-source confirmation.,Varies,Maybe,Yes,Varies,Maybe,Yes,Core node for Southern Cone literary awards; catalog exposes rich authority records for Chilean authors and national book prizes.
Biblioteca Nacional de Colombia,https://catalogo.bibliotecanacional.gov.co,gemini_vetted,Biblioteca Nacional de Colombia,hold,license_not_verified,"Potentially useful catalogue/OAI target, but licence and reuse terms need primary-source confirmation.",Varies,Maybe,Yes,Varies,Maybe,Yes,Exposes OAI-PMH endpoints; vital for capturing Colombian national and regional book awards.
Biblioteca Nacional de México (UNAM),http://catalogo.iib.unam.mx,gemini_vetted,Biblioteca Nacional de México (UNAM),hold,license_not_verified,Potentially useful Mexican node; rights/reuse need confirmation.,Varies,Maybe,Yes,Varies,Maybe,Yes,Crucial node for verifying Mexican national awards and cross-referencing ELEM dataset identifiers like the Premio José Emilio Pacheco de Poesía (ID 2985).
Biblioteca Nacional de Portugal (BNP),https://catalogo.bnportugal.gov.pt,gemini_vetted,Biblioteca Nacional de Portugal (BNP),hold,license_not_verified,Potentially useful Lusophone node; CC0 claim needs primary-source confirmation.,CC0,Yes,No,CC0,Yes,No,Core node for Lusophone literature outside of Brazil; exposes national bibliographic data for tracking Portuguese literary prizes and historical academies.
Biblioteca Nacional de Uruguay (BNU),http://catalogo.bnu.gub.uy,gemini_vetted,Biblioteca Nacional de Uruguay (BNU),hold,license_not_verified,Potentially useful but Public Domain/OAI claim needs primary-source confirmation.,Public Domain,Yes,No,Public Domain,Yes,No,Key node for capturing Uruguayan national and regional prizes; typically accessed via OAI-PMH or Z39.50 harvesting.
Biblioteca Nacional del Perú,http://catalogo.bnp.gob.pe,gemini_vetted,Biblioteca Nacional del Perú,hold,license_not_verified,Potentially useful Peruvian node; rights/reuse need primary-source confirmation.,Varies,Maybe,Yes,Varies,Maybe,Yes,Vital for capturing Peruvian national book awards and uncovering Andean literary prize structures without relying on commercial identifiers.
Biblioteca Nazionale Centrale di Firenze (BNCF),https://thes.bncf.firenze.sbn.it,gemini_vetted,Biblioteca Nazionale Centrale di Firenze (BNCF),hold,license_not_verified,Potentially useful Italian authority node; CC0 claim needs confirmation.,CC0,Yes,No,CC0,Yes,No,Italian national bibliographic authority file; provides highly structured data for Italian literary and academic prizes.
Biblioteca Națională a României,https://www.bibnat.ro,gemini_vetted,Biblioteca Națională a României,hold,license_not_verified,Potentially useful Romanian node; rights/reuse need confirmation.,Varies,Maybe,Yes,Varies,Maybe,Yes,Essential for Central/Eastern European discovery; critical node for verifying Romanian Academy awards and the Nicolae Titulescu Prize.
Bibliothèque et Archives nationales du Québec (BAnQ),https://donnees.banq.qc.ca,gemini_vetted,Bibliothèque et Archives nationales du Québec (BAnQ),hold,license_not_verified,"Looks promising, but CC0/open-data claim needs primary-source confirmation.",CC0,Yes,No,CC0,Yes,No,Rich open data portal for Francophone North America; highly structured catalog dumps for regional literary prizes.
BookSampo Dataset,https://www.semantic-web-journal.net/content/fiction-literature-linked-open-data-booksampo-dataset,deepseek,BookSampo Dataset,hold,hold_unvetted_clear_claim,"Looks promising, but not independently re-audited in this consolidation.",CC BY 4.0 (presumed),Yes,Yes,CC BY 4.0 (presumed),Yes,Yes,"A rich Finnish linked data dataset covering fiction literature from the 15th century. It includes detailed information on literary works, authors, and the awards they have received."
CERL Thesaurus,https://data.cerl.org,deepseek;gemini_vetted,CERL Thesaurus,hold,license_not_verified,"Useful historical authority source, but CC0 claim needs confirmation.",CC0,Yes,No,CC0,Yes,No,"A thesaurus of place names and personal names for the history of the book, useful for historical literary awards. || Aggregates authority data from European heritage libraries; essential for tracing historical European book prizes and early modern literary academies."
CLACSO Digital Reading Room,https://www.clacso.org.ar/biblioteca,gemini_vetted,CLACSO Digital Reading Room,hold,license_not_verified,"Potentially useful reference pool, but not core-safe without clearer rights.",Varies,Maybe,Yes,Varies,Maybe,Yes,Massive Latin American social sciences network; crucial for identifying scholarly and academic book prizes across South and Central America.
COBISS.net,https://www.cobiss.net,gemini_vetted,COBISS.net,hold,license_not_verified,"Useful network/system, but not ready for core inclusion without rights confirmation.",Varies,Maybe,Yes,Varies,Maybe,Yes,"Shared bibliographic system for the Balkans (Slovenia, Serbia, Bosnia, etc.); essential infrastructure for capturing Southeast European regional awards."
CONLIT Dataset of Contemporary Literature,https://doi.org/10.5334/johd.88,deepseek,CONLIT Dataset of Contemporary Literature,hold,hold_unvetted_clear_claim,"Looks promising, but not independently re-audited in this consolidation.",CC BY 4.0,Yes,Yes,CC BY 4.0,Yes,Yes,"Includes prizewinners among ca. 2,700 books in English published 2001-2021 across 12 genres."
Canadiana (LAC),https://data.lac-bac.gc.ca,gemini_vetted,Canadiana (LAC),hold,license_not_verified,"Likely useful, but needs official LAC rights/licence confirmation before core inclusion.",Open Government Licence - Canada,Yes,Yes,Open Government Licence - Canada,Yes,Yes,Canadian national LOD bibliography; useful for bilingual English/French literary prizes.
Chronicling America,https://chroniclingamerica.loc.gov,deepseek,Chronicling America,hold,hold_needs_primary_license,Needs primary-source license verification.,CC0 / Public Domain,Yes,No,CC0 / Public Domain,Yes,No,"A database of historic American newspapers from the Library of Congress, with linked data potential."
Dataset of European Literary Awards,https://zenodo.org (via search),deepseek,Dataset of European Literary Awards,hold,hold_needs_primary_license,Needs primary-source license verification.,Likely CC BY,Likely,Likely,CC0 / ODC-By | Likely CC BY,Likely | Yes (CC0 portion),Likely | Yes (for ODC-By portion),"A test dataset created for researching European literary prizes, containing information from the VIAF authority file. || A test dataset of Polish, German, and Czech literary prizes for research, based on VIAF authority data."
Dialnet,https://dialnet.unirioja.es,gemini_vetted,Dialnet,hold,license_not_verified,"Useful aggregator, but automated-access and licence terms need primary-source confirmation.",Varies (Requires Agreement),Maybe,Yes,Varies (Requires Agreement),Maybe,Yes,"Massive aggregator of Hispanic scholarly and literary production; excellent for tracing specialized Ibero-American awards, though automated access requires an institutional agreement."
E-LIS (E-prints in Library and Information Science),http://eprints.rclis.org,gemini_vetted,E-LIS (E-prints in Library and Information Science),hold,license_not_verified,Potentially useful specialist repository; rights/reuse need confirmation.,Varies,Maybe,Yes,Varies,Maybe,Yes,Specialized open repository; excellent for finding structural data on cataloging and bibliographic standards awards.
Feminist Bookstore News,https://github.com/Post45-Data-Collective/data/tree/main/feminist_bookstore_news,deepseek,Feminist Bookstore News,hold,hold_needs_primary_license,Needs primary-source license verification.,Varies (likely CC BY),Likely,Likely,Varies (likely CC BY),Likely,Likely,Metadata for all articles and issues of Feminist Bookstore News from 1976 to 2000.
Finna API (National Library of Finland),https://api.finna.fi,gemini_vetted,Finna API (National Library of Finland),hold,license_not_verified,"Likely useful Finnish aggregator/API, but blanket CC0 claim needs official confirmation.",CC0,Yes,No,CC0,Yes,No,"Aggregates Finnish archives and libraries; exposes highly structured, commercially safe metadata for Finnish and Swedish-language Nordic awards."
Fundação Biblioteca Nacional (Brazil),http://bndigital.bn.gov.br,gemini_vetted,Fundação Biblioteca Nacional (Brazil),hold,license_not_verified,"Potentially useful national source, but do not bless Public Domain claim without official rights page.",Public Domain,Yes,No,Public Domain,Yes,No,Crucial authority catalog for the Brazilian market and Lusophone regional literary academies.
Futuristic Fiction,https://github.com/Post45-Data-Collective/data/tree/main/futuristic_fiction,deepseek,Futuristic Fiction,hold,hold_needs_primary_license,Needs primary-source license verification.,Varies (likely CC BY),Likely,Likely,Varies (likely CC BY),Likely,Likely,Metadata for 2.5k English-language narrative works set in the future.
GeoNames,https://www.geonames.org,deepseek,GeoNames,hold,hold_unvetted_clear_claim,"Looks promising, but not independently re-audited in this consolidation.",CC BY 4.0,Yes,Yes,CC BY 4.0,Yes,Yes,A geographical database that can be used to link awards to specific locations.
IFLA LRM Knowledge Base,N/A (Various academic projects),deepseek,IFLA LRM Knowledge Base,hold,hold_needs_primary_license,Needs primary-source license verification.,Varies,Likely,Likely,Varies,Likely,Likely,"Several academic projects use the IFLA Library Reference Model (LRM) to create rich knowledge graphs for literature, including awards."
IFLA LRM for Literature Data Representation,https://dl.acm.org/doi/10.1145/3672081,deepseek,IFLA LRM for Literature Data Representation,hold,hold_needs_primary_license,Needs primary-source license verification.,Varies (Research Data),Likely,Likely,Varies (Research Data),Likely,Likely,"This research project uses the IFLA Library Reference Model (LRM) to create a knowledge base for literature data, including a robust representation of book awards."
Index of Major Literary Prizes in the US,https://data.post45.org,deepseek,Index of Major Literary Prizes in the US,hold,hold_needs_primary_license,Needs primary-source license verification.,Varies (likely CC BY),Likely,Yes,Varies (likely CC BY),Likely,Yes,"This dataset compiles information on winners and judges for major US literary prizes (1918-2020) with a purse over $10,000. It is a valuable resource for understanding award networks."
International Bestsellers,https://github.com/Post45-Data-Collective/data/tree/main/futuristic_fiction,deepseek,International Bestsellers,hold,hold_needs_primary_license,Needs primary-source license verification.,Varies (likely CC BY),Likely,Likely,Varies (likely CC BY),Likely,Likely,"Contains bestseller lists in fiction for France, Germany, Italy, Spain, and the United States from 2013-2022."
Jisc Library Hub Discover,https://discover.libraryhub.jisc.ac.uk,gemini_vetted,Jisc Library Hub Discover,hold,license_not_verified,"Useful discovery surface, but rights/reuse need confirmation.",Varies,Yes,Yes,Varies,Yes,Yes,Aggregates UK and Irish academic/specialist libraries; high value for discovering hyper-local Anglosphere scholarly prizes.
KBR (Royal Library of Belgium),https://data.kbr.be,gemini_vetted,KBR (Royal Library of Belgium),hold,license_not_verified,"Looks promising, but CC0 claim needs primary-source confirmation.",CC0,Yes,No,CC0,Yes,No,High-quality linked open data for Belgian publications; captures both Francophone and Flemish literary awards.
NEA Writing Fellowships,https://github.com/Post45-Data-Collective/data/tree/main/nea_writing_fellowships,deepseek,NEA Writing Fellowships,hold,hold_needs_primary_license,Needs primary-source license verification.,Varies (likely CC BY),Likely,Likely,Varies (likely CC BY),Likely,Likely,Comprehensive list of writers sponsored by NEA fellowships from 1965 through 2024.
NLB Singapore (National Library Board),https://data.gov.sg/collections/194/national-library-board,deepseek;gemini_vetted,NLB Singapore (National Library Board) | National Library Board of Singapore,hold,license_not_verified,"Structured government data may be useful, but this exact row needs primary-source licensing confirmation.",Open Data Licence,Yes,Yes,Open Data Licence | Unclear,Likely | Yes,Likely | Yes,Developing an operational Linked Data Management and Discovery System for its collections. || Excellent access point for Southeast Asian literary production; highly structured data capturing regional and national Singaporean awards.
National Library of China (NLC),http://www.nlc.cn,gemini_vetted,National Library of China (NLC),hold,license_not_verified,Potentially useful Chinese node; rights/reuse need confirmation.,Varies,Maybe,Yes,Varies,Maybe,Yes,The primary bibliographic node for East Asian literary prizes and mapping mainland Chinese book awards.
National Library of Greece (EBE),https://www.nlg.gr,gemini_vetted,National Library of Greece (EBE),hold,license_not_verified,Potentially useful Greek node; rights/reuse need confirmation.,Varies,Maybe,Yes,Varies,Maybe,Yes,Primary node for Hellenic bibliographic data; useful for tracking Southeast European and Balkan literary awards.
National Library of India,https://www.nationallibrary.gov.in,gemini_vetted,National Library of India,hold,license_not_verified,Potentially useful Indian node; rights/reuse need confirmation.,Varies,Maybe,Yes,Varies,Maybe,Yes,Essential for uncovering Anglosphere and regional language South Asian literary awards.
National Library of Ireland (NLI),https://www.nli.ie,gemini_vetted,National Library of Ireland (NLI),hold,license_not_verified,Potentially useful; do not keep Public Domain claim without official reuse page.,Public Domain,Yes,Yes,Public Domain,Yes,Yes,OAI-PMH targets available for harvesting Irish national bibliographic data and uncovering Anglosphere Irish literary award structures.
National Library of Israel (NLI),https://www.nli.org.il/en/research/data,gemini_vetted,National Library of Israel (NLI),hold,license_not_verified,"Promising and may turn out includable, but keep on hold until official licence confirmation is captured.",VERIFY,VERIFY,VERIFY,CC0,Yes,No,"Provides robust linked data endpoints; the definitive hub for discovering West Asian, Hebrew, and Arabic literary prizes and academic awards."
National Library of Latvia,https://data.lnb.lv,deepseek,National Library of Latvia,hold,hold_unvetted_clear_claim,"Looks promising, but not independently re-audited in this consolidation.",CC0,Yes,No,CC0,Yes,No,"Provides the Latvian National Bibliography dataset, including structured data on books and authors."
National Library of South Africa (NLSA),https://www.nlsa.ac.za,gemini_vetted,National Library of South Africa (NLSA),hold,license_not_verified,Potentially valuable regional node; rights/reuse need confirmation.,Varies,Maybe,Yes,Varies,Maybe,Yes,Primary target for African literary awards and capturing Anglosphere South African book prizes.
National Library of Turkey (Milli Kütüphane),https://www.mkutup.gov.tr,gemini_vetted,National Library of Turkey (Milli Kütüphane),hold,license_not_verified,Potentially useful Turkish node; rights/reuse need confirmation.,Varies,Maybe,Yes,Varies,Maybe,Yes,Critical access point for West Asian and Turkic literary production; exposes metadata for national and regional book awards.
National Library of the Czech Republic (NK ČR),https://www.nkp.cz,gemini_vetted,National Library of the Czech Republic (NK ČR),hold,license_not_verified,Potentially useful Czech node; rights/reuse need confirmation.,Varies,Maybe,Yes,Varies,Maybe,Yes,Central European hub with OAI-PMH endpoints; vital for capturing Czech book awards and regional Central European literary structures.
National Széchényi Library (Hungary),https://www.oszk.hu,gemini_vetted,National Széchényi Library (Hungary),hold,license_not_verified,Potentially useful Hungarian node; rights/reuse need confirmation.,Varies,Maybe,Yes,Varies,Maybe,Yes,Central European digital library hub; vital for uncovering Hungarian national literature prizes and regional academy awards.
Nobel Prize Linked Data,https://data.nobelprize.org,deepseek,Nobel Prize Linked Data,hold,hold_unvetted_clear_claim,"Looks promising, but not independently re-audited in this consolidation.",CC0,Yes,No,CC0,Yes,No,"Authoritative dataset on all Nobel Prizes and laureates since 1901, including the Nobel Prize in Literature. Includes a SPARQL endpoint for direct querying."
Nordic Noir Translation,https://github.com/Post45-Data-Collective/data/tree/main/nordic_noir,deepseek,Nordic Noir Translation,hold,hold_needs_primary_license,Needs primary-source license verification.,Varies (likely CC BY),Likely,Likely,Varies (likely CC BY),Likely,Likely,Translation data for Nordic noir literature.
OAIster (via OCLC),https://www.oclc.org/en/oaister.html,gemini_vetted,OAIster (via OCLC),hold,license_not_verified,"Aggregator can help discovery, but rights and source-model need confirmation.",Varies,Maybe,Yes,Varies,Maybe,Yes,Massive catalog of open-access resources; aggregates local institutional repositories crucial for long-tail academic book prizes.
